index,u,p
0,0.0,1.0
1,0.005025125628140704,0.8244329719868375
2,0.010050251256281407,0.744460145322293
3,0.01507537688442211,0.6923503273788327
4,0.020100502512562814,0.6537200689920439
5,0.02512562814070352,0.623051948590188
6,0.03015075376884422,0.5976410150065306
7,0.035175879396984924,0.5759597148427105
8,0.04020100502512563,0.5570610322579057
9,0.04522613065326633,0.540317437692238
10,0.05025125628140704,0.5252917641775383
11,0.05527638190954774,0.511667329058227
12,0.06030150753768844,0.4992074189267157
13,0.06532663316582915,0.48773047909530476
14,0.07035175879396985,0.4770942287553481
15,0.07537688442211056,0.46718510773592925
16,0.08040201005025126,0.45791104297300933
17,0.08542713567839195,0.44919635604861696
18,0.09045226130653267,0.44097809404084387
19,0.09547738693467336,0.4332033317494819
20,0.10050251256281408,0.42582715233319846
21,0.10552763819095477,0.41881111152298445
22,0.11055276381909548,0.4121220528601839
23,0.11557788944723618,0.4057311819337599
24,0.12060301507537688,0.3996133345516739
25,0.12562814070351758,0.39374639207908047
26,0.1306532663316583,0.388110809821427
27,0.135678391959799,0.3826892332136964
28,0.1407035175879397,0.3774661829134516
29,0.1457286432160804,0.37242779447635144
30,0.15075376884422112,0.3675616016481058
31,0.15577889447236182,0.36285635479303835
32,0.16080402010050251,0.3583018678413765
33,0.1658291457286432,0.3538888885474023
34,0.1708542713567839,0.34960898792604667
35,0.17587939698492464,0.345454465566263
36,0.18090452261306533,0.34141826816306775
37,0.18592964824120603,0.3374939191153885
38,0.19095477386934673,0.33367545743509197
39,0.19597989949748745,0.3299573845281145
40,0.20100502512562815,0.3263346176622548
41,0.20603015075376885,0.32280244913833656
42,0.21105527638190955,0.31935651034693535
43,0.21608040201005024,0.31599274002576294
44,0.22110552763819097,0.3127073561425249
45,0.22613065326633167,0.3094968309177659
46,0.23115577889447236,0.3063578685764412
47,0.23618090452261306,0.30328738547828493
48,0.24120603015075376,0.30028249232853454
49,0.24623115577889448,0.2973404782128881
50,0.25125628140703515,0.2944587962372651
51,0.2562814070351759,0.2916350505823715
52,0.2613065326633166,0.28886698480940254
53,0.2663316582914573,0.2861524712745478
54,0.271356783919598,0.28348950152853547
55,0.2763819095477387,0.2808761775933988
56,0.2814070351758794,0.27831070402200453
57,0.2864321608040201,0.2757913806576653
58,0.2914572864321608,0.2733165960209476
59,0.2964824120603015,0.27088482125998326
60,0.30150753768844224,0.2684946046071417
61,0.3065326633165829,0.2661445662926809
62,0.31155778894472363,0.2638333938704136
63,0.3165829145728643,0.2615598379163515
64,0.32160804020100503,0.2593227080650138
65,0.32663316582914576,0.2571208693522351
66,0.3316582914572864,0.2549532388364071
67,0.33668341708542715,0.25281878247302814
68,0.3417085427135678,0.25071651222043556
69,0.34673366834170855,0.24864548335612824
70,0.35175879396984927,0.24660479198580276
71,0.35678391959798994,0.2445935727287747
72,0.36180904522613067,0.24261099656482088
73,0.36683417085427134,0.24065626882932634
74,0.37185929648241206,0.23872862734449996
75,0.3768844221105528,0.2368273406758874
76,0.38190954773869346,0.23495170650410557
77,0.3869346733668342,0.23310105010286009
78,0.3919597989949749,0.2312747229150034
79,0.3969849246231156,0.22947210121918715
80,0.4020100502512563,0.22769258488027333
81,0.40703517587939697,0.2259355961772087
82,0.4120603015075377,0.22420057870283472
83,0.4170854271356784,0.22248699633020408
84,0.4221105527638191,0.22079433224075729
85,0.4271356783919598,0.21912208801006727
86,0.4321608040201005,0.21746978274681794
87,0.4371859296482412,0.21583695228167699
88,0.44221105527638194,0.2142231484023398
89,0.4472361809045226,0.21262793813194492
90,0.45226130653266333,0.21105090304759244
91,0.457286432160804,0.20949163863666342
92,0.4623115577889447,0.2079497536881263
93,0.46733668341708545,0.20642486971688356
94,0.4723618090452261,0.2049166204188566
95,0.47738693467336685,0.20342465115477637
96,0.4824120603015075,0.20194861846118783
97,0.48743718592964824,0.20048818958659353
98,0.49246231155778897,0.19904304205159917
99,0.49748743718592964,0.1976128632311429
100,0.5025125628140703,0.19619734995788463
101,0.507537688442211,0.19479620814533405
102,0.5125628140703518,0.19340915242941037
103,0.5175879396984925,0.1920359058276091
104,0.5226130653266332,0.1906761994146393
105,0.5276381909547738,0.18932977201346546
106,0.5326633165829145,0.18799636990117108
107,0.5376884422110553,0.18667574652846497
108,0.542713567839196,0.185367662252375
109,0.5477386934673367,0.18407188408116326
110,0.5527638190954774,0.182788185430951
111,0.5577889447236181,0.18151634589337107
112,0.5628140703517588,0.1802561510135945
113,0.5678391959798995,0.1790073920782902
114,0.5728643216080402,0.1777698659128646
115,0.577889447236181,0.17654337468758285
116,0.5829145728643216,0.17532772573214572
117,0.5879396984924623,0.1741227313581959
118,0.592964824120603,0.17292820868928516
119,0.5979899497487438,0.17174397949823117
120,0.6030150753768845,0.17056987005103963
121,0.6080402010050251,0.16940571095751977
122,0.6130653266331658,0.1682513370279679
123,0.6180904522613065,0.16710658713562054
124,0.6231155778894473,0.16597130408483451
125,0.628140703517588,0.1648453344845251
126,0.6331658291457286,0.1637285286265353
127,0.6381909547738693,0.16262074036895058
128,0.6432160804020101,0.16152182702400353
129,0.6482412060301508,0.16043164925017095
130,0.6532663316582915,0.15935007094867615
131,0.6582914572864321,0.1582769591637998
132,0.6633165829145728,0.15721218398702774
133,0.6683417085427136,0.15615561846483672
134,0.6733668341708543,0.15510713850996183
135,0.678391959798995,0.15406662281586136
136,0.6834170854271356,0.15303395277447862
137,0.6884422110552764,0.1520090123969453
138,0.6934673366834171,0.15099168823714137
139,0.6984924623115578,0.14998186931809698
140,0.7035175879396985,0.1489794470610235
141,0.7085427135678392,0.1479843152167888
142,0.7135678391959799,0.14699636979992192
143,0.7185929648241206,0.1460155090248918
144,0.7236180904522613,0.1450416332445741
145,0.7286432160804021,0.14407464489093513
146,0.7336683417085427,0.1431144484177196
147,0.7386934673366834,0.14216095024499964
148,0.7437185929648241,0.14121405870581327
149,0.7487437185929648,0.14027368399436568
150,0.7537688442211056,0.13933973811622025
151,0.7587939698492463,0.13841213483986792
152,0.7638190954773869,0.13749078965015826
153,0.7688442211055276,0.13657561970310894
154,0.7738693467336684,0.13566654378213627
155,0.7788944723618091,0.13476348225594847
156,0.7839195979899498,0.13386635703753313
157,0.7889447236180904,0.13297509154457998
158,0.7939698492462312,0.1320896106611542
159,0.7989949748743719,0.13120984070060615
160,0.8040201005025126,0.13033570936957517
161,0.8090452261306533,0.12946714573313045
162,0.8140703517587939,0.12860408018107705
163,0.8190954773869347,0.1277464443952141
164,0.8241206030150754,0.12689417131761616
165,0.8291457286432161,0.12604719511992357
166,0.8341708542713568,0.12520545117344284
167,0.8391959798994975,0.12436887602032698
168,0.8442211055276382,0.1235374073454949
169,0.8492462311557789,0.12271098394934654
170,0.8542713567839196,0.12188954572144439
171,0.8592964824120604,0.12107303361484867
172,0.864321608040201,0.12026138962114885
173,0.8693467336683417,0.11945455674641892
174,0.8743718592964824,0.11865247898769837
175,0.8793969849246231,0.117855101310127
176,0.8844221105527639,0.11706236962494643
177,0.8894472361809045,0.11627423076787125
178,0.8944723618090452,0.11549063247819902
179,0.8994974874371859,0.11471152337855983
180,0.9045226130653267,0.11393685295506373
181,0.9095477386934674,0.11316657153817289
182,0.914572864321608,0.11240063028401437
183,0.9195979899497487,0.11163898115616178
184,0.9246231155778895,0.11088157690805645
185,0.9296482412060302,0.11012837106575546
186,0.9346733668341709,0.10937931791124811
187,0.9396984924623115,0.10863437246614183
188,0.9447236180904522,0.10789349047590235
189,0.949748743718593,0.10715662839433548
190,0.9547738693467337,0.10642374336867988
191,0.9597989949748744,0.10569479322491304
192,0.964824120603015,0.1049697364535831
193,0.9698492462311558,0.10424853219591057
194,0.9748743718592965,0.10353114023025967
195,0.9798994974874372,0.10281752095909269
196,0.9849246231155779,0.10210763539602397
197,0.9899497487437187,0.10140144515344218
198,0.9949748743718593,0.10069891243023221
199,1.0,0.10000000000000853
